0	0.73200	0.03400
1000	0.78533	0.10167
2000	0.83167	0.20400
3000	0.86750	0.28200
4000	0.87733	0.30767
5000	0.88717	0.39067
6000	0.90667	0.30300
7000	0.91200	0.45900
8000	0.91717	0.47667
9000	0.91517	0.45500
10000	0.93583	0.54967
11000	0.93450	0.61600
12000	0.94467	0.64767
13000	0.93917	0.56900
14000	0.94567	0.68800
15000	0.94833	0.61967
16000	0.94283	0.62900
17000	0.95100	0.68533
18000	0.94467	0.64567
19000	0.95267	0.69167
